Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
It,Stephen King,4.25,1016211,"3,446",40
"Hit List (Anita Blake, Vampire Hunter, #20)",Laurell K. Hamilton,3.96,29038,"3,425",36
East of Eden,John Steinbeck,4.4,499842,"3,397",38
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,624479,"3,346",40
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1403297,"3,343",40
The Eden Paradox,Barry Kirwan,4.22,6112,"3,264",35
Summer Rental,Mary Kay Andrews,3.83,32905,"3,262",36
Slow Brewing Tea (Slow Brewing Tea Series),Randy Loubier,4.33,12467,"3,245",36
Making Hearts,Jack Getze,4.25,2247,"3,227",37
"America's Daughter (Dancing Soul Trilogy, #2)",Maria Nhambu,4.3,7488,"3,200",36
Thirteen Reasons Why,Jay Asher,3.86,922265,"3,183",37
The Poisonwood Bible,Barbara Kingsolver,4.08,713849,"3,133",33
The Perks of Being a Wallflower,Stephen Chbosky,4.22,1640753,"3,129",36
"World Without End (Kingsbridge, #2)",Ken Follett,4.29,234184,"3,122",36
The Shining,Stephen King,4.26,1374963,"3,069",34
"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,4.19,195247,"3,038",34
"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want",Joe   Hart,4.28,2910,"3,016",31
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,3.88,85965,"3,014",34
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.73,1591980,"3,006",37
22 Britannia Road,Amanda Hodgkinson,3.64,11543,"3,003",33
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.38,278479,"2,930",34
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,739257,"2,882",32
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.29,2664241,"2,879",34
The Pandarus File,Kyle Keyes,4.3,6644,"2,847",32
"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,3.88,165442,"2,825",33
The Secret Garden,Frances Hodgson Burnett,4.15,1088667,"2,825",34
The American Heiress,Daisy Goodwin,3.46,41146,"2,818",31
The Bell Jar,Sylvia Plath,4.04,814935,"2,818",32
